TradeDate,Expiry,ATM,Entry_Straddle,Entry_Wings,Net_Entry,Exit_Value,PnL,ExitReason,Capital
2017-10-26,2017-10-26,25000,188.2,9.55,178.64999999999998,34.95,143.7,TARGET,999705.4999999999
2017-11-02,2017-11-02,25500,103.1,0.85,102.25,61.949999999999996,40.300000000000004,EXPIRY,999745.7999999999
2017-11-09,2017-11-09,25400,122.75,1.35,121.4,158.9,-37.5,STOP_LOSS,999708.2999999999
2017-11-23,2017-11-23,25900,150.65,0.9,149.75,198.7,-48.94999999999999,STOP_LOSS,999659.35
2017-11-30,2017-11-30,25600,111.85,1.05,110.8,146.35,-35.55,STOP_LOSS,999623.7999999999
2017-12-01,2017-12-07,25500,336.9,64.7,272.2,310.9,-38.69999999999999,STOP_LOSS,999585.1
2017-12-07,2017-12-07,25000,100.9,0.6,100.30000000000001,51.15,49.15000000000001,EXPIRY,999634.25
2017-12-13,2017-12-14,25200,212.39999999999998,13.95,198.45,268.15,-69.69999999999999,STOP_LOSS,999564.55
2017-12-14,2017-12-14,25000,127.5,1.3,126.2,145.95000000000002,-19.750000000000014,EXPIRY,999544.8
2017-12-21,2017-12-21,25700,178.35,1.1,177.25,124.89999999999999,52.35000000000001,EXPIRY,999597.15
2017-12-27,2017-12-28,25800,176.7,7.5,169.2,238.05,-68.85000000000002,STOP_LOSS,999528.3
2017-12-28,2017-12-28,25500,120.3,1.0999999999999999,119.2,16.049999999999997,103.15,TARGET,999631.4500000001
